text,label,label_name,cognitive_demand
Fix typo in contributing documentation page,1,SHALLOW_WORK,0.26
Draft email to QA team about team restructuring deadline change,4,COMMUNICATION,0.564
Schedule architecture meeting with design team,3,ADMINISTRATIVE,0.302
Design data visualization dashboard for transaction metrics,2,CREATIVE,0.864
Draft SOW document for auto-save consulting engagement,4,COMMUNICATION,0.402
Review and update team access permissions in Jira,3,ADMINISTRATIVE,0.31
Draft proposal for offline-first partnership opportunity,4,COMMUNICATION,0.428
Migrate scheduling from monolith to microservice architecture,0,DEEP_WORK,0.858
Add input validation for username field in auth form,1,SHALLOW_WORK,0.193
Review and update team access permissions in Confluence,3,ADMINISTRATIVE,0.294
Prepare presentation for stakeholder quarterly review,4,COMMUNICATION,0.489
Archive completed inventory project files and close tickets,3,ADMINISTRATIVE,0.389
Draft press release for auto-save product announcement,4,COMMUNICATION,0.516
Compose original background music for undo-redo meditation mode,2,CREATIVE,0.436
Document standard operating procedures for code review workflow,3,ADMINISTRATIVE,0.354
Design and implement caching strategy for scheduling reducing DB load,0,DEEP_WORK,0.75
Compile weekly status report for QA management review,3,ADMINISTRATIVE,0.316
Move constants.ts to the analytics directory,1,SHALLOW_WORK,0.218
Review and categorize incoming support tickets for triage,3,ADMINISTRATIVE,0.293
Build generative art system for user profile avatars,2,CREATIVE,0.62
Design award-worthy UI for undo-redo settings panel,2,CREATIVE,0.398
Add .env.example file with required variables,1,SHALLOW_WORK,0.28
Write incident postmortem for the billing outage last week,4,COMMUNICATION,0.357
Update API version number to 1.12.0,1,SHALLOW_WORK,0.25
Create visual identity for AuraSync product launch,2,CREATIVE,0.419
Optimize dashboard query performance reducing latency by 50%,0,DEEP_WORK,0.971
Add logging to analytics endpoint,1,SHALLOW_WORK,0.277
Update changelog for version 4.0.0 release,1,SHALLOW_WORK,0.224
Record podcast episode discussing team restructuring industry trends,4,COMMUNICATION,0.457
Write release notes for dashboard version 2.8.0,4,COMMUNICATION,0.368
Design and implement caching strategy for notification reducing DB load,0,DEEP_WORK,0.889
Write compiler pass for Monte Carlo optimization in the build system,0,DEEP_WORK,0.884
Create motion design for cache state transitions,2,CREATIVE,0.587
Archive completed search project files and close tickets,3,ADMINISTRATIVE,0.382
Update project timeline in Linear for Q3 milestones,3,ADMINISTRATIVE,0.253
Update feature-flag configuration for staging environment,1,SHALLOW_WORK,0.146
Implement custom binary search solver for the constraint optimization engine,0,DEEP_WORK,0.939
Prepare slide deck for architecture stakeholder presentation,3,ADMINISTRATIVE,0.442
Compose apology communication regarding inventory service disruption,4,COMMUNICATION,0.619
Update project timeline in GitHub for Q2 milestones,3,ADMINISTRATIVE,0.382
Update project timeline in Notion for Q3 milestones,3,ADMINISTRATIVE,0.55
Create visual identity for AuraSync product launch,2,CREATIVE,0.655
Compose apology communication regarding cache service disruption,4,COMMUNICATION,0.378
Archive completed billing project files and close tickets,3,ADMINISTRATIVE,0.376
Fix broken link in migration documentation,1,SHALLOW_WORK,0.257
Update team roster and contact information in HR system,3,ADMINISTRATIVE,0.318
Write formal verification proofs for the user-profile safety module,0,DEEP_WORK,0.75
Debug the timeout crash in the dashboard service,0,DEEP_WORK,1.0
Reconcile March budget allocation across departments,3,ADMINISTRATIVE,0.339
Record podcast episode discussing security audit industry trends,4,COMMUNICATION,0.344
Write compelling copy for features landing page,2,CREATIVE,0.644
Design gamification system for real-time sync user engagement,2,CREATIVE,0.776
Reply to client feedback about cache performance issues,4,COMMUNICATION,0.554
Migrate scheduling from monolith to microservice architecture,0,DEEP_WORK,0.924
Plan and book travel for upcoming 1-on-1 conference,3,ADMINISTRATIVE,0.352
Prepare talking points for sprint planning customer call,4,COMMUNICATION,0.571
Update changelog for version 3.2.1 release,1,SHALLOW_WORK,0.192
Write compelling copy for homepage landing page,2,CREATIVE,0.774
Write blog post about our undo-redo technical architecture,4,COMMUNICATION,0.607
Write compelling copy for product tour landing page,2,CREATIVE,0.837
Optimize billing query performance reducing latency by 50%,0,DEEP_WORK,0.927
Write compiler pass for BFS optimization in the build system,0,DEEP_WORK,0.813
Design award-worthy UI for push notification settings panel,2,CREATIVE,0.703
Write RFP response for notification enterprise contract,4,COMMUNICATION,0.533
Design immersive collaborative editing experience with parallax scrolling,2,CREATIVE,0.903
Debug the null pointer crash in the cache service,0,DEEP_WORK,0.737
Write technical blog comparing quicksort vs alternative approaches,4,COMMUNICATION,0.437
Brainstorm innovative solutions for mobile performance user pain point,2,CREATIVE,0.517
Implement distributed simulated annealing consensus protocol for user-profile,0,DEEP_WORK,0.672
Run linter and fix formatting issues in payment,1,SHALLOW_WORK,0.291
Design database schema for push notification with normalization,0,DEEP_WORK,0.742
Build data pipeline for processing genomic in real-time,0,DEEP_WORK,0.854
Draft SOW document for auto-save consulting engagement,4,COMMUNICATION,0.507
Audit inventory service uptime logs for last month,3,ADMINISTRATIVE,0.382
Write blog post about our export technical architecture,4,COMMUNICATION,0.674
Build generative art system for user profile avatars,2,CREATIVE,0.627
Design data visualization dashboard for geospatial metrics,2,CREATIVE,0.899
File quarterly GDPR compliance report,3,ADMINISTRATIVE,0.387
Analyze NLP corpus dataset and build regression model,0,DEEP_WORK,0.787
Implement A* algorithm for the analytics module,0,DEEP_WORK,0.939
Add environment variable for S3 setting,1,SHALLOW_WORK,0.214
Write technical specification for offline-first architecture,0,DEEP_WORK,0.902
Update inventory of development hardware and software assets,3,ADMINISTRATIVE,0.293
Fix broken link in architecture documentation,1,SHALLOW_WORK,0.202
Create tutorial walkthrough for undo-redo API integration,4,COMMUNICATION,0.508
Implement OAuth 2.0 authentication flow with token refresh,0,DEEP_WORK,0.812
Storyboard tutorial video for dark mode walkthrough,2,CREATIVE,0.684
Design award-worthy UI for auto-save settings panel,2,CREATIVE,0.743
Write technical specification for version history architecture,0,DEEP_WORK,0.856
Draft SOW document for real-time sync consulting engagement,4,COMMUNICATION,0.604
Create internal FAQ document for push notification rollout,4,COMMUNICATION,0.411
Update README with new real-time sync setup instructions,1,SHALLOW_WORK,0.262
Analyze transaction dataset and build regression model,0,DEEP_WORK,0.964
Add .env.example file with required variables,1,SHALLOW_WORK,0.143
Update changelog for version 2.8.0 release,1,SHALLOW_WORK,0.359
Add missing type annotations to user-profile module,1,SHALLOW_WORK,0.176
Review and categorize incoming support tickets for triage,3,ADMINISTRATIVE,0.346
Design data visualization dashboard for clickstream metrics,2,CREATIVE,0.788
Migrate billing from monolith to microservice architecture,0,DEEP_WORK,0.932
Design and implement caching strategy for auth reducing DB load,0,DEEP_WORK,0.85
Design immersive push notification experience with parallax scrolling,2,CREATIVE,0.761
Bump version number for reporting hotfix release,1,SHALLOW_WORK,0.173
Update project timeline in Notion for Q4 milestones,3,ADMINISTRATIVE,0.468
Create motion design for dashboard state transitions,2,CREATIVE,0.655
Add .env.example file with required variables,1,SHALLOW_WORK,0.335
Write blog post about our auto-save technical architecture,4,COMMUNICATION,0.316
Pin moment to specific version for stability,1,SHALLOW_WORK,0.197
Write technical specification for multi-tenant architecture,0,DEEP_WORK,0.819
Update README with new undo-redo setup instructions,1,SHALLOW_WORK,0.292
Review and categorize incoming support tickets for triage,3,ADMINISTRATIVE,0.339
Create typography system for AuraSync design language,2,CREATIVE,0.677
Design immersive auto-save experience with parallax scrolling,2,CREATIVE,0.85
Move utils.py to the gateway directory,1,SHALLOW_WORK,0.259
Update S3 configuration for staging environment,1,SHALLOW_WORK,0.032
File quarterly SOC2 compliance report,3,ADMINISTRATIVE,0.364
Implement distributed backpropagation consensus protocol for user-profile,0,DEEP_WORK,0.715
Add logging to notification endpoint,1,SHALLOW_WORK,0.231
Design and implement caching strategy for messaging reducing DB load,0,DEEP_WORK,0.846
Add missing type annotations to user-profile module,1,SHALLOW_WORK,0.343
Audit inventory service uptime logs for last month,3,ADMINISTRATIVE,0.356
Create visual identity for Zenith product launch,2,CREATIVE,0.848
Sketch wireframes for export mobile experience,2,CREATIVE,0.658
Design interactive cache visualization with animations,2,CREATIVE,0.53
Prepare presentation for all-hands quarterly review,4,COMMUNICATION,0.451
Update project timeline in Jira for Q3 milestones,3,ADMINISTRATIVE,0.383
Create illustration set for architecture help center articles,2,CREATIVE,0.627
Write incident postmortem for the dashboard outage last week,4,COMMUNICATION,0.51
Add environment variable for S3 setting,1,SHALLOW_WORK,0.225
Create responsive illustration that adapts to notification viewport,2,CREATIVE,0.662
Fix broken link in deployment documentation,1,SHALLOW_WORK,0.298
Create machine learning feature extraction for transaction analysis,0,DEEP_WORK,0.738
Prepare slide deck for design review stakeholder presentation,3,ADMINISTRATIVE,0.506
Design immersive collaborative editing experience with parallax scrolling,2,CREATIVE,0.612
Implement custom Dijkstra solver for the constraint optimization engine,0,DEEP_WORK,1.0
Update migration JIRA tickets with current sprint status,3,ADMINISTRATIVE,0.276
Pin lodash to specific version for stability,1,SHALLOW_WORK,0.134
File quarterly SOC2 compliance report,3,ADMINISTRATIVE,0.371
Create tutorial walkthrough for offline-first API integration,4,COMMUNICATION,0.442
Review and update team access permissions in Jira,3,ADMINISTRATIVE,0.295
Prepare presentation for sprint planning quarterly review,4,COMMUNICATION,0.331
Add missing type annotations to scheduling module,1,SHALLOW_WORK,0.301
Design interactive cache visualization with animations,2,CREATIVE,0.747
Compile weekly status report for product management review,3,ADMINISTRATIVE,0.34
Reconcile November budget allocation across departments,3,ADMINISTRATIVE,0.587
Prototype new dark mode experience using Figma,2,CREATIVE,0.684
Analyze genomic dataset and build regression model,0,DEEP_WORK,0.791
Build generative art system for user profile avatars,2,CREATIVE,0.595
Compile weekly status report for design management review,3,ADMINISTRATIVE,0.316
Create tutorial walkthrough for version history API integration,4,COMMUNICATION,0.519
Schedule retrospective meeting with engineering team,3,ADMINISTRATIVE,0.398
Write technical blog comparing quicksort vs alternative approaches,4,COMMUNICATION,0.502
Update feature-flag configuration for staging environment,1,SHALLOW_WORK,0.08
Add default value for phone_number in gateway model,1,SHALLOW_WORK,0.058
Document standard operating procedures for release workflow,3,ADMINISTRATIVE,0.366
Record demo video showing auto-save new capabilities,4,COMMUNICATION,0.598
Archive completed payment project files and close tickets,3,ADMINISTRATIVE,0.434
Implement custom k-means solver for the constraint optimization engine,0,DEEP_WORK,0.836
Write incident postmortem for the billing outage last week,4,COMMUNICATION,0.707
Plan and book travel for upcoming stakeholder conference,3,ADMINISTRATIVE,0.284
Archive completed notification project files and close tickets,3,ADMINISTRATIVE,0.428
Add default value for email in scheduling model,1,SHALLOW_WORK,0.199
Debug the stack overflow crash in the cache service,0,DEEP_WORK,0.823
Create machine learning feature extraction for transaction analysis,0,DEEP_WORK,0.853
Clean up unused imports in analytics files,1,SHALLOW_WORK,0.45
Brainstorm innovative solutions for retention user pain point,2,CREATIVE,0.67
Implement distributed backpropagation consensus protocol for user-profile,0,DEEP_WORK,0.817
Organize team standup notes from this week,3,ADMINISTRATIVE,0.412
Add .env.example file with required variables,1,SHALLOW_WORK,0.625
Move constants.ts to the auth directory,1,SHALLOW_WORK,0.147
Review and approve 12 pending pull requests,3,ADMINISTRATIVE,0.242
Organize team standup notes from this week,3,ADMINISTRATIVE,0.48
Add default value for address in gateway model,1,SHALLOW_WORK,0.262
File quarterly GDPR compliance report,3,ADMINISTRATIVE,0.225
Write RFP response for dashboard enterprise contract,4,COMMUNICATION,0.353
Archive completed analytics project files and close tickets,3,ADMINISTRATIVE,0.351
Compose newsletter update about infrastructure migration progress this quarter,4,COMMUNICATION,0.505
Draft SOW document for offline-first consulting engagement,4,COMMUNICATION,0.497
Draft email to QA team about infrastructure migration deadline change,4,COMMUNICATION,0.548
Create visual identity for FlowState product launch,2,CREATIVE,0.831
Add default value for date_of_birth in inventory model,1,SHALLOW_WORK,0.156
Build data pipeline for processing log in real-time,0,DEEP_WORK,0.936
Update team roster and contact information in HR system,3,ADMINISTRATIVE,0.312
Write blog post about our undo-redo technical architecture,4,COMMUNICATION,0.738
Design and implement caching strategy for messaging reducing DB load,0,DEEP_WORK,0.849
Analyze transaction dataset and build regression model,0,DEEP_WORK,0.856
Update API reference JIRA tickets with current sprint status,3,ADMINISTRATIVE,0.231
Refactor the scheduling codebase to use singleton pattern,0,DEEP_WORK,0.826
Optimize search query performance reducing latency by 50%,0,DEEP_WORK,0.94
Prepare presentation for design review quarterly review,4,COMMUNICATION,0.442
Rename userData variable to userProfile across codebase,1,SHALLOW_WORK,0.418
Compose original background music for collaborative editing meditation mode,2,CREATIVE,0.636
Clean up unused imports in billing files,1,SHALLOW_WORK,0.197
Compile weekly status report for product management review,3,ADMINISTRATIVE,0.404
Create illustration set for contributing help center articles,2,CREATIVE,0.548
Create internal FAQ document for offline-first rollout,4,COMMUNICATION,0.444
Design award-worthy UI for multi-tenant settings panel,2,CREATIVE,0.621
Draft press release for export product announcement,4,COMMUNICATION,0.738
Implement custom binary search solver for the constraint optimization engine,0,DEEP_WORK,0.877
Prepare talking points for 1-on-1 customer call,4,COMMUNICATION,0.413
Move helpers.js to the reporting directory,1,SHALLOW_WORK,0.227
Create illustration set for security help center articles,2,CREATIVE,0.662
Bump version number for payment hotfix release,1,SHALLOW_WORK,0.201
Implement distributed gradient descent consensus protocol for gateway,0,DEEP_WORK,0.825
Pin moment to specific version for stability,1,SHALLOW_WORK,0.137
Add .env.example file with required variables,1,SHALLOW_WORK,0.224
Prepare slide deck for all-hands stakeholder presentation,3,ADMINISTRATIVE,0.33
Prepare presentation for stakeholder quarterly review,4,COMMUNICATION,0.263
Fix typo in deployment documentation page,1,SHALLOW_WORK,0.448
Update README with new offline-first setup instructions,1,SHALLOW_WORK,0.249
Update changelog for version 5.1.0 release,1,SHALLOW_WORK,0.451
Update inventory dependency versions in package.json,1,SHALLOW_WORK,0.288
Implement custom binary search solver for the constraint optimization engine,0,DEEP_WORK,0.858
Create onboarding checklist for new designer hire,3,ADMINISTRATIVE,0.358
Update project timeline in Confluence for Q3 milestones,3,ADMINISTRATIVE,0.391
Write blog post about our undo-redo technical architecture,4,COMMUNICATION,0.597
Write compelling copy for product tour landing page,2,CREATIVE,0.55
Update architecture JIRA tickets with current sprint status,3,ADMINISTRATIVE,0.219
Profile and fix memory leak in auth under high concurrency,0,DEEP_WORK,0.856
Write blog post about our undo-redo technical architecture,4,COMMUNICATION,0.503
Implement mTLS authentication flow with token refresh,0,DEEP_WORK,0.797
Prepare talking points for retrospective customer call,4,COMMUNICATION,0.326
Implement Monte Carlo algorithm for the notification module,0,DEEP_WORK,0.943
Document standard operating procedures for code review workflow,3,ADMINISTRATIVE,0.26
Implement mTLS authentication flow with token refresh,0,DEEP_WORK,0.891
Draft email to marketing team about security audit deadline change,4,COMMUNICATION,0.597
Reply to client feedback about search performance issues,4,COMMUNICATION,0.705
Update inventory of development hardware and software assets,3,ADMINISTRATIVE,0.405
Review and categorize incoming support tickets for triage,3,ADMINISTRATIVE,0.377
Build generative art system for user profile avatars,2,CREATIVE,0.697
Refactor the user-profile codebase to use CQRS pattern,0,DEEP_WORK,0.732
Create visual identity for NovaTech product launch,2,CREATIVE,1.0
Implement genetic algorithm for the reporting module,0,DEEP_WORK,0.952
Record podcast episode discussing performance optimization industry trends,4,COMMUNICATION,0.462
Create knowledge base article for undo-redo troubleshooting,4,COMMUNICATION,0.458
Compose original background music for undo-redo meditation mode,2,CREATIVE,0.934
Compile weekly status report for DevOps management review,3,ADMINISTRATIVE,0.528
Design micro-interactions for cache hover and focus states,2,CREATIVE,0.615
Add environment variable for redis setting,1,SHALLOW_WORK,0.489
Write unit tests for the auth engine covering edge cases,0,DEEP_WORK,0.751
Clean up unused imports in user-profile files,1,SHALLOW_WORK,0.295
Update README with new export setup instructions,1,SHALLOW_WORK,0.19
Create responsive illustration that adapts to inventory viewport,2,CREATIVE,0.605
Compose original background music for version history meditation mode,2,CREATIVE,0.764
Prepare talking points for stakeholder customer call,4,COMMUNICATION,0.637
Create brand storytelling narrative for FlowState campaign,2,CREATIVE,0.78
Create internal FAQ document for auto-save rollout,4,COMMUNICATION,0.534
Record podcast episode discussing infrastructure migration industry trends,4,COMMUNICATION,0.486
Create onboarding documentation for inventory SDK users,4,COMMUNICATION,0.269
Create motion design for billing state transitions,2,CREATIVE,0.641
Design immersive real-time sync experience with parallax scrolling,2,CREATIVE,0.655
Prepare slide deck for sprint planning stakeholder presentation,3,ADMINISTRATIVE,0.314
Write formal verification proofs for the billing safety module,0,DEEP_WORK,0.8
Update API version number to 5.1.0,1,SHALLOW_WORK,0.274
Debug the OOM crash in the notification service,0,DEEP_WORK,0.808
Compose newsletter update about security audit progress this quarter,4,COMMUNICATION,0.416
Pin webpack to specific version for stability,1,SHALLOW_WORK,0.437
Move helpers.js to the inventory directory,1,SHALLOW_WORK,0.009
Run linter and fix formatting issues in notification,1,SHALLOW_WORK,0.446
Optimize messaging query performance reducing latency by 50%,0,DEEP_WORK,0.925
Profile and fix memory leak in payment under high concurrency,0,DEEP_WORK,0.913
Design new onboarding flow for first-time analyst users,2,CREATIVE,0.587
Compile weekly status report for marketing management review,3,ADMINISTRATIVE,0.231
Clean up unused imports in gateway files,1,SHALLOW_WORK,0.487
Create onboarding documentation for auth SDK users,4,COMMUNICATION,0.481
Storyboard tutorial video for two-factor auth walkthrough,2,CREATIVE,0.609
Coordinate vendor contract renewal for Linear licenses,3,ADMINISTRATIVE,0.239
Clean up unused imports in billing files,1,SHALLOW_WORK,0.202
Add default value for email in auth model,1,SHALLOW_WORK,0.234
Create onboarding documentation for billing SDK users,4,COMMUNICATION,0.38
Clean up unused imports in dashboard files,1,SHALLOW_WORK,0.12
Prepare presentation for stakeholder quarterly review,4,COMMUNICATION,0.665
Update project timeline in GitHub for Q4 milestones,3,ADMINISTRATIVE,0.303
Draft email to design team about security audit deadline change,4,COMMUNICATION,0.645
Write RFP response for dashboard enterprise contract,4,COMMUNICATION,0.756
Audit auth service uptime logs for last month,3,ADMINISTRATIVE,0.314
Design award-worthy UI for collaborative editing settings panel,2,CREATIVE,0.93
Write release notes for user-profile version 4.0.0,4,COMMUNICATION,0.557
Write RFP response for billing enterprise contract,4,COMMUNICATION,0.468
Update security JIRA tickets with current sprint status,3,ADMINISTRATIVE,0.36
Create typography system for Zenith design language,2,CREATIVE,0.535
Organize team standup notes from this week,3,ADMINISTRATIVE,0.412
Audit inventory service uptime logs for last month,3,ADMINISTRATIVE,0.292
Write compiler pass for simulated annealing optimization in the build system,0,DEEP_WORK,0.864
Write technical specification for push notification architecture,0,DEEP_WORK,0.832
Brainstorm innovative solutions for mobile performance user pain point,2,CREATIVE,0.862
Compile weekly status report for QA management review,3,ADMINISTRATIVE,0.237
Create internal FAQ document for dark mode rollout,4,COMMUNICATION,0.427
Create brand storytelling narrative for NovaTech campaign,2,CREATIVE,0.761
Create visual identity for Luminary product launch,2,CREATIVE,0.791
Add environment variable for CDN setting,1,SHALLOW_WORK,0.392
Implement custom binary search solver for the constraint optimization engine,0,DEEP_WORK,0.917
Coordinate vendor contract renewal for Asana licenses,3,ADMINISTRATIVE,0.387
Create internal FAQ document for two-factor auth rollout,4,COMMUNICATION,0.45
Optimize cache query performance reducing latency by 50%,0,DEEP_WORK,0.83
Draft SOW document for two-factor auth consulting engagement,4,COMMUNICATION,0.655
Run linter and fix formatting issues in scheduling,1,SHALLOW_WORK,0.166
Implement SAML authentication flow with token refresh,0,DEEP_WORK,0.808
Prepare slide deck for retrospective stakeholder presentation,3,ADMINISTRATIVE,0.473
Design interactive analytics visualization with animations,2,CREATIVE,0.63
Write unit tests for the search engine covering edge cases,0,DEEP_WORK,0.762
File quarterly GDPR compliance report,3,ADMINISTRATIVE,0.23
Draft proposal for push notification partnership opportunity,4,COMMUNICATION,0.634
Write technical blog comparing dynamic programming vs alternative approaches,4,COMMUNICATION,0.632
Record demo video showing undo-redo new capabilities,4,COMMUNICATION,0.481
Reconcile November budget allocation across departments,3,ADMINISTRATIVE,0.272
Refactor the user-profile codebase to use strategy pattern,0,DEEP_WORK,0.804
Design micro-interactions for analytics hover and focus states,2,CREATIVE,0.616
Create tutorial walkthrough for multi-tenant API integration,4,COMMUNICATION,0.357
Design interactive payment visualization with animations,2,CREATIVE,0.613
Design award-worthy UI for undo-redo settings panel,2,CREATIVE,0.714
Optimize dashboard query performance reducing latency by 50%,0,DEEP_WORK,0.858
Create machine learning feature extraction for log analysis,0,DEEP_WORK,0.809
Document standard operating procedures for release workflow,3,ADMINISTRATIVE,0.391
